spo2,heartrate
86.3519,2645.1707,11584.0000
86.3727,2645.1707,1608.0000
86.4075,2937.4855,11472.0000
86.4245,2937.4855,2944.0000
86.4562,3038.6836,11424.0000
86.4703,3038.6836,5344.0000
86.4992,3092.5759,11384.0000
86.5141,3092.5759,8040.0000
86.5429,3092.5759,11464.0000
86.5595,3092.5759,7992.0000
86.5889,2338.8066,11616.0000
86.6078,2338.8066,8472.0000
86.6306,2734.2669,10496.0000
86.6538,2734.2669,10360.0000
86.6731,2734.2669,9520.0000
86.6986,2406.4544,11184.0000
86.7162,2406.4544,8888.0000
86.7415,2757.7119,11360.0000
86.7581,2757.7119,8824.0000
86.7846,2922.3834,11728.0000
86.8030,2922.3834,9264.0000
86.8304,3007.7429,11856.0000
86.8506,3007.7429,9768.0000
86.8783,3052.0987,11912.0000
86.9000,3052.0987,10216.0000
86.9279,3060.1839,11976.0000
86.9503,3060.1839,10504.0000
86.9773,3065.7971,11928.0000
86.9990,3065.7971,10584.0000
87.0184,3068.3679,10696.0000
87.0407,4589.1738,11584.0000
87.0600,4589.1738,10728.0000
87.0810,3817.9708,11472.0000
87.0994,3817.9708,10808.0000
87.1191,3433.0659,11424.0000
87.1367,3433.0659,10904.0000
87.1552,3236.9059,11384.0000
87.1718,3236.9059,10920.0000
87.1893,3100.8129,11464.0000
87.2052,3100.8129,10960.0000
87.2222,3050.9316,11616.0000
87.2374,3050.9316,10984.0000
87.2498,3050.9316,10496.0000
87.2623,2521.8125,10976.0000
87.2702,2521.8125,9520.0000
87.2804,2781.9730,11040.0000
87.2857,2781.9730,8888.0000
87.2941,2872.1023,10992.0000
87.3040,2872.1023,10992.0000
87.3095,2872.1023,9264.0000
87.3179,2429.6918,11048.0000
87.3235,2429.6918,9768.0000
87.3316,2699.3330,11024.0000
87.3381,2699.3330,10216.0000
87.3464,2821.0481,11040.0000
87.3535,2821.0481,10504.0000
87.3620,2821.0481,11088.0000
87.3693,2821.0481,10584.0000
87.3774,2821.0481,11040.0000
87.3845,2821.0481,10696.0000
87.3924,2821.0481,11048.0000
87.3993,2821.0481,10728.0000
87.4067,2821.0481,11056.0000
87.4145,2821.0481,11072.0000
87.4215,2821.0481,10904.0000
87.4287,2821.0481,11056.0000
87.4352,2821.0481,10920.0000
87.4421,2821.0481,11072.0000
87.4483,2821.0481,10960.0000
87.4548,2821.0481,11056.0000
87.4607,2821.0481,10984.0000
87.4667,2821.0481,11024.0000
87.4722,2821.0481,10976.0000
87.4775,2821.0481,10920.0000
87.4821,2821.0481,10712.0000
87.4867,1549.7449,10992.0000
87.4906,1549.7449,10600.0000
87.4948,2196.8082,10992.0000
87.4981,2196.8082,10544.0000
87.5021,2535.9430,11048.0000
87.5052,2535.9430,10536.0000
