comment,90 degrees up
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-57.0000,31.0000,39.0000,0.0193,-0.0071,0.9729
-64.0000,19.0000,41.0000,0.0188,-0.0073,0.9761
-68.0000,13.0000,54.0000,0.0208,-0.0034,0.9771
-61.0000,27.0000,55.0000,0.0173,-0.0076,0.9646
-48.0000,29.0000,92.0000,0.0222,-0.0073,0.9841
-51.0000,30.0000,51.0000,0.0181,-0.0039,0.9780
-66.0000,33.0000,71.0000,0.0139,-0.0042,0.9749
-72.0000,56.0000,44.0000,0.0007,-0.0103,0.9756
-66.0000,28.0000,34.0000,0.0181,-0.0034,0.9702
-57.0000,11.0000,59.0000,0.0222,-0.0071,0.9768
-85.0000,-252.0000,73.0000,0.0151,-0.0051,0.9714
-50.0000,34.0000,69.0000,0.0208,-0.0024,0.9695
-55.0000,48.0000,22.0000,0.0178,-0.0125,0.9802
-49.0000,18.0000,60.0000,0.0190,-0.0098,0.9766
-59.0000,45.0000,60.0000,0.0305,-0.0144,0.9729
-56.0000,19.0000,73.0000,0.0173,-0.0020,0.9712
-77.0000,30.0000,79.0000,0.0193,-0.0083,0.9736
-68.0000,36.0000,65.0000,0.0220,-0.0059,0.9749
-89.0000,7.0000,46.0000,0.0183,-0.0088,0.9839
-48.0000,43.0000,91.0000,0.0222,-0.0103,0.9541
-68.0000,26.0000,91.0000,0.0227,-0.0044,0.9966
-56.0000,29.0000,53.0000,0.0234,-0.0046,0.9768
-62.0000,27.0000,76.0000,0.0227,-0.0085,0.9714
-89.0000,18.0000,61.0000,0.0183,-0.0085,0.9709
-41.0000,25.0000,55.0000,0.0188,-0.0032,0.9829
-49.0000,21.0000,57.0000,0.0215,-0.0061,0.9709
-74.0000,37.0000,67.0000,0.0266,-0.0120,0.9741
-77.0000,37.0000,57.0000,0.0176,-0.0063,0.9827
-55.0000,27.0000,87.0000,0.0210,-0.0139,0.9780
-89.0000,23.0000,89.0000,0.0229,0.0120,0.9792
-53.0000,58.0000,49.0000,0.0161,-0.0029,0.9756
-61.0000,28.0000,43.0000,0.0198,-0.0112,0.9690
-58.0000,26.0000,64.0000,0.0188,-0.0085,0.9592
-86.0000,49.0000,70.0000,0.0242,-0.0076,0.9810
-74.0000,235.0000,45.0000,0.0276,-0.0110,0.9680
